Sport,Franchise ID,City of Team,Team Name,Season Win Loss Record,Season Win Percentage,Season Payroll,Season,Season Start Month & Year,Season End Month & Year,"Playoff Round elminated (0 = missed playoffs, 5 = Won Championship)",,,,,,,,,,,,,,,,,,,
Hockey,5,Nashville,Predators,31-23-2,0.571,83520657,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,7,Buffalo,Sabres,15-34-7,0.33,72678411,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,8,Philadelphia,Flyers,25-23-8,0.518,78849867,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,9,Vancouver,Canucks,23-29-4,0.446,82244869,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,10,Anaheim,Ducks,17-30-9,0.384,87017407,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,33-16-7,0.652,82245943,2020-2021,2021-01-13,2021-05-19,2,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,24-25-7,0.491,84953294,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,27-23-6,0.536,83970853,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,37-16-3,0.688,86230602,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,19-27-10,0.429,73725168,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,27-20-9,0.563,89841278,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,36-15-5,0.688,86726259,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,37-14-5,0.705,80743103,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,19,Toronto,Maple Leafs,35-14-7,0.688,84094786,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,20,New Jersey,Devils,19-30-7,0.402,62254273,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,21,Los Angeles,Kings,21-28-7,0.438,71143210,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,22,New York,Islanders,32-17-7,0.634,94357016,2020-2021,2021-01-13,2021-05-19,3,,,,,,,,,,,,,,,,,,,
Hockey,23,Colorado,Avalanche,39-13-4,0.732,84981081,2020-2021,2021-01-13,2021-05-19,2,,,,,,,,,,,,,,,,,,,
Hockey,24,Edmonton,Oilers,35-19-2,0.643,85623396,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,25,Carolina,Hurricanes,2036-12-08,0.714,77568328,2020-2021,2021-01-13,2021-05-19,2,,,,,,,,,,,,,,,,,,,
Hockey,26,Dallas,Stars,23-19-14,0.536,83355887,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,27,Ottawa,Senators,23-28-5,0.455,66354638,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,28,Minnesota,Wild,35-16-5,0.67,81088412,2020-2021,2021-01-13,2021-05-19,1,,,,,,,,,,,,,,,,,,,
Hockey,29,Vegas,Golden Knights,40-14-2,0.732,82796287,2020-2021,2021-01-13,2021-05-19,3,,,,,,,,,,,,,,,,,,,
Hockey,30,Montreal,Canadiens,24-21-11,0.527,85568698,2020-2021,2021-01-13,2021-05-19,4,,,,,,,,,,,,,,,,,,,
Hockey,31,Tampa Bay,Lightning,36-17-3,0.67,99878996,2020-2021,2021-01-13,2021-05-19,5,,,,,,,,,,,,,,,,,,,
Hockey,32,Winnipeg,Jets,30-23-3,0.563,85649783,2020-2021,2021-01-13,2021-05-19,2,,,,,,,,,,,,,,,,,,,
Hockey,1,San Jose,Sharks,29-36-5,0.45,78266631,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,2,Calgary,Flames,36-27-7,0.564,77371032,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,3,Columbus,Blue Jackets,33-22-15,0.579,77633761,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,4,Arizona,Coyotes,33-29-8,0.529,85537609,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,5,Nashville,Predators,35-26-8,0.565,79193222,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,7,Buffalo,Sabres,30-31-8,0.493,82884775,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,8,Philadelphia,Flyers,41-21-7,0.645,83579969,2019-2020,2019-10-02,2020-09-28,2,,,,,,,,,,,,,,,,,,,
Hockey,9,Vancouver,Canucks,36-27-6,0.565,86542925,2019-2020,2019-10-02,2020-09-28,2,,,,,,,,,,,,,,,,,,,
Hockey,10,Anaheim,Ducks,29-33-9,0.472,80279452,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,44-14-12,0.714,79785510,2019-2020,2019-10-02,2020-09-28,2,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,32-30-8,0.514,79742414,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,37-28-5,0.564,77387718,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,40-23-6,0.623,85050602,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,17-49-5,0.275,78059812,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,42-19-10,0.662,84605837,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,41-20-8,0.652,82086827,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,35-26-8,0.565,79974992,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,19,Toronto,Maple Leafs,36-25-9,0.579,96087597,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,20,New Jersey,Devils,28-29-12,0.493,62968035,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,21,Los Angeles,Kings,29-35-6,0.457,65306414,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,22,New York,Islanders,35-23-10,0.588,85971651,2019-2020,2019-10-02,2020-09-28,3,,,,,,,,,,,,,,,,,,,
Hockey,23,Colorado,Avalanche,42-20-8,0.657,79051542,2019-2020,2019-10-02,2020-09-28,2,,,,,,,,,,,,,,,,,,,
Hockey,24,Edmonton,Oilers,37-25-9,0.585,81485177,2019-2020,2019-10-02,2020-09-28,0,,,,,,,,,,,,,,,,,,,
Hockey,25,Carolina,Hurricanes,38-25-5,0.596,89975808,2019-2020,2019-10-02,2020-09-28,1,,,,,,,,,,,,,,,,,,,
Hockey,26,Dallas,Stars,37-24-8,0.594,81112923,2019-2020,2019-10-02,2020-09-28,4,,,,,,,,,,,,,,,,,,,
